#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  30700      2.05e+00      2.50e-02      7.71e-02    7.1e-04
  30800      1.46e+00      2.03e-02      5.48e-02    7.1e-04
  30900      1.10e+00      1.73e-02      4.12e-02    7.1e-04
  31000      1.09e+00      2.99e-02      4.10e-02    7.1e-04
  31100      1.66e+00      1.91e-02      6.22e-02    7.1e-04
  31200      1.90e+00      1.88e-02      7.15e-02    7.1e-04
  31300      1.99e+00      4.81e-02      7.49e-02    7.1e-04
  31400      1.07e+00      1.56e-02      4.01e-02    7.1e-04
  31500      1.24e+00      2.39e-02      4.64e-02    7.1e-04
  31600      1.52e+00      1.28e-02      5.72e-02    7.1e-04
  31700      1.32e+00      3.57e-02      4.94e-02    7.1e-04
  31800      1.30e+00      4.79e-02      4.86e-02    7.1e-04
  31900      1.28e+00      5.22e-02      4.79e-02    7.1e-04
  32000      1.34e+00      1.50e-02      5.02e-02    7.1e-04
  32100      1.23e+00      9.14e-03      4.62e-02    7.1e-04
  32200      1.77e+00      1.86e-02      6.66e-02    7.1e-04
  32300      1.45e+00      3.95e-02      5.44e-02    7.1e-04
  32400      1.71e+00      2.89e-02      6.43e-02    7.1e-04
  32500      9.29e-01      8.24e-03      3.49e-02    7.1e-04
  32600      1.51e+00      2.67e-02      5.69e-02    7.1e-04
  32700      1.19e+00      3.37e-02      4.45e-02    7.1e-04
  32800      1.40e+00      1.95e-02      5.27e-02    7.1e-04
  32900      1.38e+00      3.54e-02      5.20e-02    7.1e-04
  33000      1.05e+00      2.47e-02      3.95e-02    7.1e-04
  33100      1.24e+00      1.29e-02      4.67e-02    7.1e-04
  33200      1.35e+00      1.29e-02      5.06e-02    7.1e-04
  33300      1.80e+00      2.83e-02      6.77e-02    7.1e-04
  33400      9.44e-01      8.13e-03      3.55e-02    7.1e-04
  33500      1.21e+00      1.66e-02      4.54e-02    7.1e-04
  33600      1.07e+00      1.75e-02      4.03e-02    7.1e-04
  33700      1.15e+00      9.83e-03      4.34e-02    7.1e-04
  33800      1.16e+00      2.49e-02      4.37e-02    7.1e-04
  33900      2.58e+00      3.56e-02      9.71e-02    7.1e-04
  34000      1.96e+00      3.18e-02      7.36e-02    7.1e-04
  34100      1.55e+00      1.36e-02      5.81e-02    7.1e-04
  34200      1.37e+00      3.99e-03      5.15e-02    7.1e-04
  34300      2.13e+00      3.65e-02      8.01e-02    7.1e-04
  34400      9.59e-01      5.06e-02      3.59e-02    7.1e-04
  34500      1.71e+00      3.32e-02      6.42e-02    7.1e-04
  34600      1.49e+00      7.18e-03      5.58e-02    7.1e-04
  34700      1.16e+00      8.84e-03      4.38e-02    7.1e-04
  34800      9.71e-01      6.17e-03      3.65e-02    7.1e-04
  34900      1.41e+00      1.62e-02      5.29e-02    7.1e-04
  35000      1.07e+00      2.18e-02      4.13e-02    6.7e-04
  35100      1.98e+00      5.82e-02      7.65e-02    6.7e-04
  35200      1.11e+00      1.69e-02      4.30e-02    6.7e-04
  35300      1.38e+00      9.16e-03      5.33e-02    6.7e-04
  35400      1.51e+00      7.99e-03      5.84e-02    6.7e-04
  35500      8.01e-01      1.00e-02      3.10e-02    6.7e-04
  35600      1.37e+00      1.07e-02      5.28e-02    6.7e-04
  35700      1.33e+00      1.54e-02      5.15e-02    6.7e-04
  35800      1.12e+00      1.26e-02      4.34e-02    6.7e-04
  35900      1.45e+00      2.60e-02      5.62e-02    6.7e-04
  36000      1.23e+00      1.87e-02      4.77e-02    6.7e-04
  36100      1.14e+00      2.08e-02      4.39e-02    6.7e-04
  36200      1.39e+00      2.71e-02      5.38e-02    6.7e-04
  36300      1.18e+00      2.08e-02      4.55e-02    6.7e-04
  36400      1.12e+00      2.00e-02      4.33e-02    6.7e-04
  36500      1.65e+00      2.15e-02      6.38e-02    6.7e-04
  36600      1.54e+00      1.54e-02      5.95e-02    6.7e-04
  36700      1.16e+00      1.02e-02      4.49e-02    6.7e-04
  36800      1.50e+00      1.94e-02      5.79e-02    6.7e-04
  36900      1.18e+00      8.62e-03      4.55e-02    6.7e-04
  37000      8.81e-01      9.05e-03      3.41e-02    6.7e-04
  37100      1.14e+00      1.05e-02      4.43e-02    6.7e-04
  37200      9.57e-01      1.69e-02      3.70e-02    6.7e-04
  37300      1.55e+00      1.25e-02      5.99e-02    6.7e-04
  37400      1.39e+00      2.20e-02      5.36e-02    6.7e-04
  37500      1.48e+00      2.68e-02      5.72e-02    6.7e-04
  37600      1.81e+00      2.20e-02      7.01e-02    6.7e-04
  37700      1.85e+00      1.38e-02      7.14e-02    6.7e-04
  37800      1.81e+00      5.45e-02      6.98e-02    6.7e-04
  37900      9.81e-01      2.36e-02      3.79e-02    6.7e-04
  38000      1.30e+00      1.26e-02      5.01e-02    6.7e-04
  38100      1.28e+00      1.62e-02      4.94e-02    6.7e-04
  38200      1.23e+00      4.55e-02      4.73e-02    6.7e-04
  38300      1.43e+00      1.87e-02      5.53e-02    6.7e-04
  38400      8.37e-01      1.46e-02      3.24e-02    6.7e-04
  38500      1.65e+00      2.24e-02      6.37e-02    6.7e-04
  38600      9.77e-01      1.10e-02      3.78e-02    6.7e-04
  38700      1.94e+00      2.21e-02      7.48e-02    6.7e-04
  38800      1.09e+00      1.88e-02      4.23e-02    6.7e-04
  38900      1.32e+00      2.07e-02      5.11e-02    6.7e-04
  39000      1.44e+00      8.87e-03      5.56e-02    6.7e-04
  39100      2.04e+00      2.37e-02      7.88e-02    6.7e-04
  39200      1.55e+00      4.68e-02      5.98e-02    6.7e-04
  39300      1.39e+00      2.36e-02      5.36e-02    6.7e-04
  39400      1.19e+00      7.48e-03      4.60e-02    6.7e-04
  39500      9.26e-01      4.54e-02      3.57e-02    6.7e-04
  39600      1.83e+00      7.15e-03      7.07e-02    6.7e-04
  39700      1.35e+00      9.46e-03      5.22e-02    6.7e-04
  39800      1.29e+00      1.83e-02      4.98e-02    6.7e-04
  39900      1.22e+00      1.49e-02      4.72e-02    6.7e-04
  40000      1.18e+00      2.70e-02      4.69e-02    6.3e-04
  40100      1.15e+00      1.97e-02      4.56e-02    6.3e-04
  40200      1.39e+00      2.12e-02      5.52e-02    6.3e-04
  40300      1.62e+00      3.75e-02      6.43e-02    6.3e-04
  40400      1.15e+00      2.08e-02      4.59e-02    6.3e-04
  40500      1.16e+00      4.00e-02      4.61e-02    6.3e-04
  40600      1.47e+00      1.54e-02      5.84e-02    6.3e-04
  40700      9.33e-01      4.89e-03      3.71e-02    6.3e-04
  40800      1.03e+00      4.36e-02      4.10e-02    6.3e-04
  40900      1.24e+00      1.93e-02      4.94e-02    6.3e-04
  41000      8.67e-01      1.80e-02      3.45e-02    6.3e-04
  41100      1.07e+00      1.42e-02      4.28e-02    6.3e-04
  41200      1.48e+00      2.00e-02      5.88e-02    6.3e-04
  41300      1.71e+00      1.74e-02      6.80e-02    6.3e-04
  41400      1.45e+00      7.28e-03      5.77e-02    6.3e-04
  41500      1.61e+00      1.81e-02      6.42e-02    6.3e-04
  41600      1.86e+00      3.12e-02      7.40e-02    6.3e-04
  41700      1.95e+00      3.16e-02      7.77e-02    6.3e-04
  41800      1.20e+00      3.16e-02      4.78e-02    6.3e-04
  41900      9.16e-01      3.15e-02      3.64e-02    6.3e-04
  42000      1.73e+00      2.50e-02      6.89e-02    6.3e-04
  42100      1.23e+00      9.42e-03      4.91e-02    6.3e-04
  42200      1.28e+00      1.68e-02      5.10e-02    6.3e-04
  42300      1.37e+00      2.08e-02      5.47e-02    6.3e-04
  42400      1.59e+00      3.47e-02      6.31e-02    6.3e-04
  42500      1.71e+00      1.55e-02      6.82e-02    6.3e-04
  42600      1.85e+00      4.23e-02      7.34e-02    6.3e-04
  42700      1.14e+00      3.35e-02      4.53e-02    6.3e-04
  42800      1.37e+00      2.34e-02      5.46e-02    6.3e-04
  42900      2.00e+00      1.89e-02      7.98e-02    6.3e-04
  43000      1.72e+00      3.75e-02      6.85e-02    6.3e-04
  43100      1.25e+00      2.26e-02      4.98e-02    6.3e-04
